Timestamp,Node_ID,Source_ID,Demand_kWh,Supply_kWh,Cost_per_kWh,Line_Loss_%
3,N2,Wind,217.68,324.18,0.067,5.58
4,N7,Hydro,165.09,445.83,0.062,5.04
5,N8,Solar,294.2,144.29,0.071,2.34
2,N8,Wind,234.98,467.23,0.077,8.87
12,N6,Wind,123.05,464.31,0.105,8.44
13,N1,Wind,54.5,485.12,0.104,4.44
5,N6,Hydro,257.35,212.61,0.075,2.9
13,N2,Wind,225.92,316.28,0.066,3.94
19,N8,Solar,53.1,287.51,0.065,6.79
1,N7,Wind,124.31,219.97,0.105,2.39
16,N9,Hydro,275.72,440.91,0.067,6.75
5,N10,Hydro,273.08,174.13,0.043,3.92
18,N3,Wind,248.64,113.87,0.095,9.96
19,N9,Wind,263.92,308.58,0.064,8.65
19,N9,Solar,199.74,145.97,0.055,9.28
13,N2,Wind,217.3,431.71,0.113,6.57
21,N7,Wind,179.36,272.17,0.079,5.48
18,N9,Wind,243.47,340.77,0.114,5.55
18,N5,Solar,201.77,352.52,0.08,7.62
21,N1,Wind,109.36,304.95,0.066,5.08
14,N6,Solar,171.92,360.89,0.098,6.81
11,N1,Solar,235.9,302.51,0.082,2.57
4,N8,Solar,113.6,244.74,0.074,2.37
2,N3,Hydro,85.01,210.73,0.079,4.65
9,N6,Hydro,170.51,178.44,0.064,4.25
9,N1,Hydro,101.75,306.63,0.04,2.06
15,N6,Solar,104.77,114.69,0.055,4.71
2,N2,Wind,250.65,328.82,0.091,4.35
19,N6,Wind,282.94,258.81,0.065,6.94
0,N8,Hydro,78.46,238.09,0.06,8.99
7,N8,Solar,173.39,380.9,0.1,3.05
10,N10,Hydro,118.68,257.83,0.057,5.29
11,N6,Solar,276.9,385.61,0.08,4.47
6,N9,Solar,255.95,482.02,0.091,2.01
22,N8,Hydro,209.1,120.45,0.05,2.48
2,N2,Solar,200.95,374.64,0.056,5.07
9,N8,Wind,164.06,247.62,0.067,5.35
16,N10,Solar,237.79,128.4,0.054,4.84
14,N3,Hydro,285.43,367.43,0.067,4.9
11,N4,Hydro,198.42,104.05,0.065,9.31
8,N3,Wind,203.14,449.48,0.103,2.96
0,N10,Solar,275.61,126.58,0.077,3.14
9,N3,Solar,52.93,268.81,0.065,5.89
15,N1,Hydro,194.3,117.5,0.045,6.47
11,N9,Solar,135.79,391.67,0.083,8.76
10,N7,Wind,223.12,271.97,0.1,4.2
5,N1,Hydro,126.58,415.59,0.058,8.39
11,N4,Wind,255.61,443.02,0.115,5.45
7,N1,Hydro,129.72,332.88,0.055,6.81
1,N3,Solar,226.4,375.36,0.069,3.33
20,N9,Hydro,157.63,157.04,0.076,4.77
6,N8,Solar,88.61,110.18,0.082,7.1
11,N4,Wind,135.15,128.68,0.085,4.49
21,N8,Hydro,219.28,342.31,0.055,3.74
1,N8,Wind,297.01,281.6,0.101,3.12
22,N10,Solar,171.4,111.01,0.075,9.71
10,N6,Wind,146.05,115.6,0.062,5.1
2,N3,Wind,90.01,109.34,0.105,5.67
18,N7,Hydro,122.31,460.03,0.045,9.65
7,N6,Hydro,128.49,455.36,0.064,8.61
2,N1,Wind,296.0,215.36,0.118,5.12
14,N10,Wind,146.38,236.15,0.092,3.23
12,N5,Solar,188.43,316.68,0.088,8.67
10,N3,Wind,160.11,220.93,0.076,3.56
21,N6,Wind,64.41,236.98,0.076,9.73
10,N5,Solar,189.43,238.91,0.079,3.11
15,N5,Hydro,161.01,350.49,0.06,5.21
7,N1,Solar,298.46,452.13,0.081,6.56
21,N6,Hydro,205.17,180.52,0.056,2.32
2,N8,Wind,168.89,317.21,0.074,9.71
10,N5,Wind,277.36,388.86,0.092,8.96
7,N4,Solar,82.66,416.2,0.056,8.35
3,N6,Hydro,118.94,450.84,0.078,3.19
5,N3,Hydro,165.67,492.39,0.059,8.91
23,N1,Hydro,197.18,250.13,0.051,3.63
1,N7,Hydro,240.45,254.62,0.06,5.94
11,N8,Wind,194.32,446.23,0.119,5.26
19,N6,Wind,256.88,405.81,0.094,9.65
13,N5,Solar,100.12,143.71,0.093,5.51
10,N7,Wind,261.74,457.24,0.064,9.07
19,N9,Wind,162.08,304.17,0.098,9.41
4,N5,Hydro,54.78,290.74,0.068,7.78
23,N2,Hydro,223.13,153.77,0.052,4.87
0,N10,Hydro,251.11,211.5,0.048,9.66
18,N7,Hydro,52.22,499.13,0.067,8.63
23,N4,Hydro,123.65,105.73,0.07,8.67
8,N6,Hydro,235.12,157.14,0.07,8.15
0,N7,Hydro,214.64,406.45,0.074,6.91
0,N3,Wind,72.15,295.05,0.065,5.26
17,N6,Solar,151.78,126.4,0.067,2.89
9,N2,Wind,252.06,479.08,0.064,9.64
2,N4,Wind,180.64,219.83,0.065,6.0
12,N2,Wind,248.63,382.83,0.063,2.58
16,N7,Hydro,150.72,218.12,0.049,4.25
22,N1,Hydro,250.87,471.69,0.056,9.25
22,N7,Solar,130.37,290.57,0.061,7.12
5,N1,Solar,294.75,341.4,0.068,7.18
21,N10,Wind,80.73,455.46,0.09,5.59
21,N1,Hydro,196.47,349.91,0.043,7.46
21,N2,Solar,110.48,385.58,0.091,8.43
8,N2,Wind,188.13,308.07,0.069,8.2
15,N7,Hydro,117.85,298.68,0.051,3.07
12,N10,Wind,207.39,121.73,0.105,4.54
10,N8,Wind,50.03,304.45,0.063,4.21
2,N6,Wind,226.74,125.08,0.11,2.03
4,N1,Hydro,111.71,396.36,0.053,2.82
17,N6,Hydro,140.06,208.16,0.074,4.51
22,N9,Hydro,247.23,456.75,0.057,9.28
0,N2,Hydro,144.33,485.63,0.044,7.5
20,N5,Solar,173.45,255.06,0.082,7.63
13,N4,Hydro,51.09,166.78,0.069,7.33
5,N7,Hydro,291.51,404.42,0.078,7.62
8,N7,Solar,124.51,142.15,0.089,7.15
12,N8,Solar,62.05,244.02,0.098,6.0
6,N3,Solar,158.18,283.08,0.06,4.95
11,N6,Wind,142.45,120.94,0.106,5.33
18,N10,Wind,255.54,440.14,0.073,7.26
1,N6,Solar,168.07,452.06,0.061,7.42
0,N6,Solar,201.94,218.12,0.057,7.21
17,N1,Hydro,234.65,226.25,0.066,5.16
8,N10,Solar,228.3,179.69,0.095,4.3
7,N1,Solar,141.95,123.24,0.056,6.13
11,N8,Solar,116.9,434.19,0.051,5.03
19,N8,Hydro,134.34,107.73,0.045,5.31
10,N2,Wind,173.22,261.72,0.092,6.76
8,N6,Wind,52.48,285.64,0.118,6.15
20,N9,Hydro,219.39,224.75,0.071,8.18
2,N2,Hydro,180.32,490.41,0.045,2.14
4,N5,Hydro,242.54,422.86,0.045,4.12
13,N6,Wind,54.39,217.32,0.106,6.14
19,N10,Solar,137.02,248.7,0.05,4.4
7,N8,Wind,211.61,489.68,0.111,2.19
14,N6,Hydro,274.64,413.28,0.071,5.66
22,N7,Solar,149.5,221.17,0.053,3.83
18,N4,Wind,111.65,293.63,0.105,5.79
6,N5,Hydro,64.46,483.12,0.078,8.28
19,N9,Solar,297.83,317.79,0.098,2.6
11,N4,Wind,141.42,190.15,0.072,3.13
14,N7,Solar,205.6,412.53,0.079,3.18
16,N3,Hydro,252.78,354.38,0.056,7.39
11,N10,Hydro,114.98,238.08,0.077,4.32
22,N5,Solar,167.5,456.06,0.085,2.5
3,N6,Wind,86.83,103.14,0.098,5.58
23,N6,Wind,83.57,483.17,0.092,3.94
10,N4,Hydro,175.15,371.85,0.043,4.2
14,N2,Wind,251.74,283.87,0.093,5.46
13,N4,Hydro,60.97,166.3,0.058,3.67
11,N8,Wind,62.49,437.46,0.119,8.35
20,N3,Solar,263.45,196.79,0.098,3.58
1,N5,Solar,287.86,497.93,0.086,9.85
14,N10,Wind,192.38,203.82,0.086,6.75
13,N8,Solar,68.27,348.94,0.099,3.52
22,N8,Hydro,248.15,463.16,0.078,9.68
19,N5,Solar,180.36,490.92,0.088,3.29
19,N8,Hydro,169.23,387.33,0.05,7.12
3,N5,Solar,216.65,165.08,0.078,8.17
15,N7,Wind,174.72,104.84,0.061,4.86
6,N10,Wind,281.55,191.47,0.098,3.78
3,N8,Hydro,130.42,439.22,0.069,2.76
1,N6,Hydro,157.18,111.67,0.059,7.3
5,N5,Hydro,79.63,215.55,0.056,9.36
23,N6,Wind,298.31,117.96,0.106,4.97
0,N3,Solar,148.11,401.71,0.096,9.61
1,N4,Solar,194.28,242.85,0.089,4.01
6,N9,Wind,191.02,243.43,0.099,3.92
16,N7,Solar,97.9,467.3,0.055,6.05
16,N9,Hydro,105.21,115.57,0.041,3.4
2,N1,Hydro,266.69,212.99,0.078,6.65
0,N6,Hydro,159.15,332.04,0.061,8.07
16,N5,Hydro,120.62,241.22,0.076,9.57
0,N4,Hydro,273.14,267.78,0.071,5.81
5,N6,Wind,174.38,181.87,0.095,3.49
5,N10,Wind,132.89,442.01,0.072,2.57
20,N4,Solar,67.25,476.31,0.075,5.28
14,N2,Hydro,252.72,434.33,0.053,7.55
6,N8,Hydro,242.78,361.86,0.046,9.01
11,N8,Hydro,184.77,212.99,0.057,2.3
23,N7,Solar,81.97,406.22,0.05,5.33
12,N7,Hydro,180.63,121.85,0.079,3.81
1,N2,Wind,126.05,221.58,0.074,2.01
3,N6,Wind,232.34,486.74,0.073,7.3
15,N5,Wind,235.47,439.37,0.085,4.42
20,N7,Hydro,131.32,385.05,0.073,3.45
7,N1,Hydro,142.74,460.78,0.072,9.88
1,N1,Wind,238.56,257.28,0.095,7.29
12,N2,Wind,69.61,317.8,0.103,3.34
2,N5,Wind,245.16,333.51,0.117,2.34
10,N2,Solar,116.33,340.62,0.065,7.72
2,N1,Hydro,239.75,141.01,0.061,6.07
1,N8,Hydro,142.32,473.17,0.073,7.58
23,N10,Hydro,228.58,284.69,0.077,7.56
19,N7,Wind,232.25,444.68,0.076,8.46
5,N10,Hydro,98.81,238.14,0.053,9.83
20,N9,Hydro,264.13,380.47,0.069,6.5
18,N9,Wind,286.77,298.5,0.083,3.3
0,N3,Wind,246.55,393.78,0.083,2.2
3,N6,Hydro,259.75,104.57,0.068,9.76
5,N4,Wind,159.42,193.99,0.102,8.54
2,N5,Wind,186.61,486.81,0.063,6.04
1,N5,Wind,229.61,445.06,0.071,8.4
17,N2,Solar,188.18,258.62,0.057,8.92
17,N4,Wind,89.32,223.92,0.077,8.97
14,N3,Hydro,218.18,418.67,0.05,7.0
7,N1,Wind,192.94,433.13,0.114,2.1
0,N7,Wind,218.5,120.73,0.093,4.3
21,N4,Solar,126.69,241.18,0.081,4.67
1,N2,Wind,233.17,261.81,0.064,8.27
17,N4,Solar,121.44,273.11,0.084,4.66
20,N4,Hydro,64.15,249.57,0.078,7.13
5,N2,Wind,217.87,352.91,0.072,5.35
3,N5,Wind,237.73,140.55,0.077,4.21
17,N3,Solar,158.0,492.15,0.053,6.15
20,N9,Solar,94.84,488.27,0.056,5.23
3,N7,Hydro,234.47,381.82,0.057,4.77
6,N5,Wind,149.4,205.71,0.072,5.86
0,N7,Hydro,117.13,214.98,0.066,9.75
10,N9,Solar,200.91,130.79,0.054,9.61
14,N5,Hydro,124.32,136.83,0.064,6.99
3,N7,Hydro,212.13,206.96,0.041,9.72
6,N2,Solar,112.72,370.41,0.085,6.88
16,N4,Hydro,128.23,208.44,0.064,8.93
0,N6,Hydro,286.68,142.36,0.046,9.56
2,N1,Wind,234.13,453.2,0.072,6.7
15,N4,Solar,225.28,372.04,0.07,2.12
20,N3,Solar,195.73,201.24,0.073,9.66
2,N7,Solar,149.76,435.92,0.059,7.38
2,N1,Wind,294.25,140.76,0.06,5.47
17,N8,Wind,73.16,399.35,0.115,5.47
16,N4,Wind,114.68,273.76,0.103,2.07
6,N9,Wind,197.36,345.32,0.098,3.94
3,N8,Hydro,228.51,136.56,0.048,9.02
20,N5,Wind,234.68,105.5,0.075,3.72
23,N9,Solar,117.7,199.02,0.053,5.67
10,N9,Wind,233.18,342.69,0.1,2.65
8,N3,Hydro,287.87,435.4,0.072,8.58
5,N4,Hydro,283.18,317.7,0.048,6.93
16,N10,Hydro,235.72,395.17,0.061,2.55
6,N8,Hydro,142.78,468.31,0.063,6.31
9,N2,Hydro,117.21,247.38,0.076,7.33
17,N10,Hydro,246.85,281.74,0.065,3.99
12,N3,Solar,226.37,271.04,0.072,7.19
1,N2,Hydro,284.07,125.6,0.073,4.34
9,N3,Hydro,160.98,108.77,0.052,6.02
5,N3,Solar,64.04,296.44,0.096,2.84
9,N10,Hydro,241.11,263.87,0.066,4.08
23,N7,Solar,89.87,164.19,0.054,3.49
22,N1,Hydro,216.05,452.68,0.073,7.48
0,N3,Wind,77.61,215.67,0.079,4.0
10,N7,Solar,178.75,314.22,0.068,4.83
17,N10,Hydro,257.14,415.72,0.052,9.31
17,N4,Hydro,288.2,230.7,0.054,6.05
14,N2,Solar,285.28,450.53,0.055,5.14
17,N6,Wind,188.34,301.25,0.072,8.87
21,N9,Wind,219.24,435.16,0.112,7.99
3,N7,Wind,159.8,344.22,0.07,7.39
1,N8,Wind,94.81,377.58,0.074,2.94
10,N9,Wind,91.32,100.8,0.103,7.86
8,N9,Hydro,178.73,164.55,0.043,2.15
16,N5,Solar,91.44,456.34,0.062,4.83
14,N3,Hydro,76.34,188.94,0.061,6.86
10,N4,Wind,111.34,123.09,0.083,3.87
22,N1,Wind,104.89,483.95,0.097,6.46
23,N8,Wind,153.94,271.58,0.092,7.57
1,N7,Solar,225.54,168.68,0.075,5.3
9,N3,Wind,267.63,352.57,0.092,2.92
16,N6,Hydro,201.41,146.88,0.053,3.14
22,N10,Hydro,223.02,182.5,0.056,9.17
11,N6,Solar,101.08,303.12,0.071,2.14
20,N1,Hydro,248.19,127.62,0.059,6.49
17,N10,Wind,207.11,375.45,0.075,2.08
11,N10,Hydro,230.86,314.26,0.073,8.57
4,N6,Wind,260.83,294.04,0.08,8.33
10,N10,Solar,162.82,173.38,0.093,9.06
10,N8,Solar,166.58,130.28,0.069,8.43
9,N2,Hydro,275.44,181.39,0.043,9.02
16,N3,Wind,147.35,316.7,0.118,2.53
1,N4,Hydro,212.08,129.64,0.055,8.43
21,N9,Hydro,158.37,498.87,0.062,4.57
8,N2,Wind,105.03,240.21,0.082,2.55
14,N5,Hydro,142.39,285.7,0.069,7.25
17,N4,Hydro,227.19,103.35,0.049,7.29
11,N10,Hydro,171.0,102.13,0.072,8.18
8,N1,Solar,187.1,126.59,0.088,6.67
9,N10,Wind,245.49,400.7,0.108,6.14
10,N2,Solar,85.08,368.46,0.081,7.94
8,N3,Hydro,92.47,177.99,0.076,8.0
18,N1,Solar,277.06,403.49,0.08,7.23
5,N3,Wind,272.28,331.52,0.098,3.25
15,N1,Wind,168.48,386.56,0.076,3.62
23,N2,Solar,128.46,196.6,0.061,5.4
10,N6,Wind,276.96,302.82,0.071,2.62
15,N4,Wind,224.04,253.12,0.109,7.28
14,N6,Solar,249.06,208.78,0.085,4.11
8,N7,Solar,284.77,354.55,0.066,4.16
7,N8,Solar,97.73,377.86,0.061,6.76
9,N10,Hydro,116.16,364.79,0.073,8.22
20,N3,Hydro,240.21,175.09,0.044,7.59
11,N10,Solar,142.09,272.94,0.052,4.08
0,N10,Hydro,58.42,451.67,0.05,6.46
1,N9,Solar,59.74,366.74,0.066,9.18
7,N3,Wind,272.03,230.12,0.114,9.97
17,N6,Wind,256.35,437.95,0.075,6.61
16,N7,Hydro,66.81,137.97,0.08,4.61
10,N1,Solar,237.05,422.67,0.093,9.98
16,N9,Wind,110.37,116.14,0.085,3.04
5,N5,Solar,55.61,244.17,0.089,6.53
8,N7,Hydro,128.19,361.74,0.049,2.12
14,N9,Wind,241.09,349.5,0.106,2.31
10,N10,Wind,259.28,347.81,0.094,7.0
12,N7,Solar,266.11,334.77,0.079,9.93
14,N7,Wind,239.18,276.92,0.102,5.11
4,N6,Solar,107.22,338.74,0.096,9.43
8,N10,Hydro,135.48,311.07,0.048,9.97
13,N10,Hydro,295.28,359.8,0.072,7.72
1,N1,Solar,198.29,121.34,0.073,7.4
23,N8,Hydro,219.38,249.25,0.078,3.34
9,N2,Solar,175.09,376.35,0.085,7.19
23,N3,Wind,118.82,162.48,0.098,6.79
22,N8,Hydro,94.84,382.06,0.058,7.34
9,N6,Hydro,259.34,167.89,0.041,8.23
19,N4,Hydro,202.42,379.86,0.074,8.42
20,N3,Solar,290.23,314.37,0.074,5.22
7,N1,Wind,88.42,329.04,0.077,9.37
4,N5,Solar,195.8,337.14,0.068,2.42
6,N10,Solar,57.94,269.33,0.054,6.85
22,N1,Wind,270.24,453.17,0.1,3.69
10,N7,Wind,265.75,454.44,0.072,7.9
23,N9,Wind,121.63,421.06,0.12,2.24
2,N8,Wind,274.34,349.05,0.118,5.72
5,N3,Solar,261.85,124.96,0.067,2.54
1,N7,Hydro,293.84,426.79,0.074,9.5
6,N8,Solar,71.28,254.24,0.054,3.69
4,N10,Solar,107.34,287.64,0.063,2.81
1,N4,Hydro,91.87,158.91,0.079,8.07
8,N7,Wind,291.94,275.9,0.077,8.39
9,N6,Hydro,131.56,219.75,0.049,3.04
2,N4,Solar,114.12,242.13,0.084,2.5
23,N9,Hydro,102.63,423.61,0.046,4.74
4,N7,Wind,266.16,161.97,0.065,5.88
1,N1,Solar,125.6,325.36,0.09,3.1
13,N8,Wind,195.17,302.2,0.069,6.99
14,N5,Hydro,118.41,295.13,0.043,5.68
21,N9,Solar,126.62,428.95,0.053,5.35
13,N7,Wind,164.61,390.0,0.094,7.34
5,N6,Wind,244.26,444.88,0.079,6.3
23,N6,Solar,260.03,495.78,0.094,4.97
4,N3,Hydro,98.79,295.76,0.07,5.94
13,N9,Wind,170.8,435.29,0.082,8.88
22,N9,Hydro,151.7,231.29,0.058,8.1
21,N6,Solar,81.5,178.57,0.098,3.4
16,N1,Hydro,191.93,331.73,0.06,7.16
4,N8,Solar,107.46,321.06,0.069,7.29
18,N7,Wind,85.31,328.35,0.071,4.23
12,N1,Solar,104.68,173.14,0.091,4.29
20,N9,Hydro,281.78,487.97,0.063,3.14
4,N7,Hydro,143.64,419.09,0.055,2.7
12,N8,Wind,189.2,438.05,0.108,3.4
23,N1,Solar,218.19,188.2,0.061,8.99
13,N2,Solar,112.42,205.3,0.05,8.97
15,N10,Solar,248.15,350.93,0.088,3.22
4,N10,Solar,164.58,240.49,0.055,5.89
13,N4,Hydro,280.18,116.02,0.052,3.66
19,N5,Hydro,109.54,463.37,0.059,5.73
17,N10,Wind,240.14,161.8,0.089,5.44
15,N10,Hydro,199.23,499.82,0.071,5.18
17,N1,Wind,256.89,168.28,0.062,3.64
6,N10,Solar,135.1,304.23,0.081,9.28
11,N8,Solar,177.46,300.51,0.053,2.28
8,N6,Solar,187.79,275.27,0.092,3.29
21,N1,Wind,56.24,279.62,0.074,2.4
1,N2,Solar,231.15,144.64,0.08,4.25
18,N8,Wind,93.37,251.9,0.108,5.14
5,N2,Solar,237.69,150.19,0.089,3.9
18,N5,Solar,219.35,326.31,0.096,5.1
20,N4,Wind,66.54,107.66,0.11,6.2
1,N8,Hydro,243.81,193.77,0.054,2.24
7,N1,Wind,290.37,367.15,0.116,4.12
5,N3,Hydro,202.87,371.4,0.053,8.78
12,N2,Solar,286.79,453.94,0.087,4.22
7,N2,Solar,120.4,485.34,0.051,7.73
0,N8,Wind,226.56,349.08,0.119,4.5
16,N10,Wind,134.99,131.58,0.087,4.09
13,N10,Wind,135.85,433.83,0.116,3.49
9,N9,Solar,143.13,471.45,0.053,2.74
7,N8,Hydro,90.7,338.09,0.046,9.74
2,N1,Hydro,161.68,300.61,0.05,5.77
7,N1,Solar,215.48,400.47,0.088,6.62
9,N4,Wind,276.09,426.96,0.105,2.44
9,N3,Hydro,51.72,184.98,0.067,5.29
3,N2,Solar,150.6,453.83,0.095,9.27
2,N5,Hydro,128.47,376.42,0.051,3.52
5,N5,Solar,96.16,236.84,0.071,8.65
4,N6,Solar,79.97,393.97,0.077,4.3
4,N3,Hydro,173.2,219.98,0.064,5.47
23,N2,Solar,91.1,146.63,0.077,9.22
4,N9,Solar,135.99,393.2,0.083,9.45
23,N1,Solar,255.25,326.64,0.083,9.19
8,N4,Solar,149.88,230.72,0.051,8.61
20,N3,Hydro,250.25,141.78,0.063,5.71
12,N2,Hydro,79.68,492.23,0.049,2.54
8,N3,Solar,198.71,395.55,0.052,7.27
12,N3,Solar,183.07,141.31,0.059,6.54
22,N6,Wind,124.09,475.33,0.109,9.87
8,N10,Wind,114.92,487.89,0.086,4.78
5,N6,Hydro,62.59,121.11,0.068,5.66
20,N7,Solar,106.63,345.59,0.063,6.62
21,N4,Hydro,139.8,429.42,0.073,5.82
4,N8,Solar,137.7,245.02,0.09,4.63
9,N2,Solar,102.26,133.88,0.073,5.86
0,N1,Wind,260.23,188.5,0.083,8.47
2,N5,Wind,255.91,253.84,0.088,4.43
23,N5,Hydro,283.14,147.46,0.077,7.47
13,N4,Wind,182.89,113.06,0.089,5.26
3,N9,Solar,90.3,362.56,0.099,6.5
20,N1,Solar,228.69,127.38,0.071,2.93
11,N7,Hydro,203.2,475.39,0.066,2.61
4,N10,Hydro,138.67,320.27,0.056,8.67
5,N1,Hydro,253.67,344.73,0.055,4.04
10,N7,Wind,76.47,241.96,0.085,7.41
15,N3,Solar,214.54,128.04,0.07,3.45
19,N10,Solar,89.2,430.92,0.052,5.35
14,N3,Solar,92.05,451.73,0.078,3.85
12,N2,Hydro,175.61,392.59,0.078,3.76
6,N5,Solar,271.55,473.72,0.096,7.08
11,N7,Hydro,207.46,261.28,0.07,6.25
4,N4,Hydro,219.36,271.38,0.069,8.6
18,N7,Wind,86.61,433.17,0.092,8.76
2,N6,Hydro,157.83,251.62,0.077,4.01
2,N2,Hydro,261.05,293.61,0.061,4.47
3,N4,Wind,193.26,230.08,0.062,4.18
7,N3,Hydro,51.59,491.34,0.079,5.16
15,N3,Wind,232.09,238.32,0.1,8.44
21,N7,Solar,286.69,260.08,0.089,4.13
18,N6,Solar,297.58,110.31,0.08,7.28
2,N9,Wind,222.01,148.16,0.116,3.45
17,N4,Solar,205.69,189.07,0.065,6.37
5,N4,Solar,154.3,164.09,0.059,5.35
3,N8,Solar,239.32,459.19,0.054,5.14
3,N7,Hydro,75.06,106.64,0.066,6.82
2,N8,Solar,90.75,193.53,0.051,8.68
19,N1,Wind,293.67,154.18,0.074,8.95
5,N8,Solar,281.62,267.85,0.053,2.32
19,N2,Hydro,193.49,257.16,0.041,6.67
13,N1,Wind,52.83,414.95,0.078,2.32
16,N9,Solar,197.09,259.07,0.099,6.35
20,N7,Hydro,118.81,383.78,0.051,9.23
10,N1,Solar,143.68,319.95,0.053,5.41
8,N6,Hydro,258.09,422.26,0.049,3.81
3,N5,Hydro,254.33,472.16,0.044,5.6
22,N3,Wind,134.36,448.28,0.065,3.69
22,N5,Hydro,238.12,120.52,0.06,5.54
8,N6,Hydro,133.6,257.83,0.061,3.29
19,N3,Solar,193.0,422.17,0.088,3.23
11,N9,Solar,87.31,207.27,0.068,5.27
16,N10,Solar,219.92,122.67,0.052,5.14
8,N5,Wind,224.29,177.37,0.098,4.08
5,N6,Solar,271.52,458.28,0.065,3.84
6,N6,Solar,152.83,196.21,0.084,8.61
6,N3,Wind,218.27,429.74,0.084,3.25
1,N9,Hydro,234.49,244.19,0.067,4.17
8,N3,Hydro,70.31,497.03,0.046,9.91
8,N7,Wind,294.32,417.53,0.1,6.62
20,N4,Solar,266.53,215.78,0.073,6.96
2,N6,Wind,152.8,270.99,0.08,6.51
19,N2,Wind,262.64,180.61,0.116,7.51
1,N4,Wind,255.82,322.48,0.107,2.13
15,N3,Hydro,254.6,116.06,0.076,9.94
16,N6,Solar,123.52,184.13,0.088,4.02
2,N6,Solar,266.39,141.14,0.056,9.83
14,N2,Hydro,218.46,438.75,0.053,7.41
15,N5,Solar,198.56,341.26,0.084,6.6
19,N8,Hydro,157.27,210.37,0.071,3.81
5,N6,Wind,223.09,193.33,0.098,7.98
17,N9,Hydro,104.68,123.98,0.045,6.85
19,N3,Wind,262.36,118.0,0.104,4.73
0,N7,Hydro,169.63,471.54,0.053,5.72
15,N8,Wind,53.42,132.64,0.076,2.22
10,N2,Wind,207.84,270.56,0.093,3.4
16,N9,Wind,123.98,365.53,0.118,2.4
1,N8,Wind,272.6,330.75,0.094,6.0
16,N8,Solar,67.35,135.95,0.08,4.73
9,N2,Hydro,279.32,262.64,0.046,7.72
21,N4,Solar,123.34,310.19,0.085,9.2
13,N8,Wind,248.05,370.54,0.101,9.57
1,N7,Hydro,123.96,100.44,0.051,3.74
10,N2,Hydro,215.46,353.48,0.064,2.13
22,N10,Solar,232.19,229.41,0.083,6.45
7,N2,Wind,135.68,153.83,0.066,8.65
14,N8,Wind,279.6,359.92,0.066,5.22
14,N8,Solar,232.23,411.93,0.056,2.0
20,N7,Solar,228.03,242.64,0.063,2.1
7,N7,Hydro,185.07,440.46,0.078,6.53
9,N2,Hydro,178.62,134.02,0.062,5.04
21,N3,Hydro,201.78,255.49,0.05,2.76
18,N1,Hydro,128.73,138.66,0.047,9.9
3,N8,Solar,161.03,312.75,0.094,9.96
21,N10,Hydro,195.68,424.99,0.053,4.45
5,N10,Wind,150.68,369.0,0.101,4.52
22,N6,Solar,83.3,352.96,0.056,6.63
8,N6,Solar,223.36,380.24,0.088,8.98
10,N6,Hydro,174.99,392.1,0.065,3.49
13,N4,Hydro,56.42,213.82,0.058,6.94
21,N7,Wind,262.49,178.5,0.068,9.71
6,N9,Wind,77.01,291.4,0.095,6.33
21,N9,Wind,71.51,122.81,0.066,6.68
7,N9,Hydro,186.09,193.5,0.066,8.56
10,N10,Solar,60.39,299.25,0.084,4.02
18,N2,Wind,126.94,345.46,0.114,8.48
3,N5,Hydro,195.78,392.09,0.055,7.13
0,N3,Wind,166.55,175.97,0.102,6.45
8,N1,Hydro,139.66,464.54,0.041,4.53
20,N1,Solar,64.22,406.61,0.085,4.65
23,N8,Solar,218.92,258.37,0.088,5.63
6,N6,Solar,153.07,473.89,0.063,2.96
4,N9,Solar,196.14,487.73,0.069,2.5
14,N2,Hydro,134.83,302.37,0.046,7.26
4,N5,Wind,299.44,280.7,0.081,5.21
6,N9,Solar,78.79,453.31,0.071,5.1
3,N8,Solar,214.92,276.81,0.082,2.49
3,N7,Hydro,253.43,476.2,0.066,9.64
4,N5,Solar,87.86,290.97,0.08,6.65
22,N2,Wind,150.37,235.23,0.068,5.13
4,N10,Hydro,90.67,393.75,0.048,2.47
8,N9,Wind,188.09,338.09,0.112,6.62
5,N10,Wind,136.37,421.2,0.092,2.63
22,N8,Hydro,191.46,463.21,0.056,4.37
15,N10,Hydro,85.87,160.58,0.057,6.77
21,N5,Wind,70.15,475.83,0.105,6.69
18,N3,Hydro,257.11,132.07,0.059,7.04
1,N6,Hydro,257.16,413.39,0.051,9.53
9,N3,Wind,81.09,450.05,0.118,3.42
8,N2,Hydro,230.52,116.11,0.056,6.13
21,N9,Hydro,195.16,474.37,0.067,5.85
16,N8,Solar,252.42,480.21,0.051,9.86
1,N4,Wind,71.53,425.75,0.077,3.06
21,N4,Hydro,159.96,357.58,0.055,2.44
2,N4,Wind,199.87,460.96,0.083,3.73
4,N1,Solar,160.64,119.35,0.091,8.61
3,N6,Hydro,197.0,241.24,0.072,6.44
18,N10,Wind,256.48,352.58,0.107,6.79
3,N9,Solar,153.54,483.18,0.077,6.84
20,N1,Hydro,105.12,350.26,0.063,3.48
18,N1,Hydro,64.9,341.74,0.071,6.19
23,N7,Wind,106.69,366.61,0.065,5.53
2,N8,Solar,90.84,173.78,0.06,5.09
14,N4,Solar,62.79,259.12,0.076,5.87
13,N9,Solar,145.7,435.66,0.057,6.05
21,N10,Hydro,65.51,128.46,0.063,6.53
10,N1,Hydro,269.51,323.15,0.078,2.39
2,N7,Solar,74.5,117.63,0.059,6.33
